KODJAZ,TYPVAZ,AKRCIS1,KODCIS1,CHODNOTA1,TEXT1,AKRCIS2,KODCIS2,CHODNOTA2,TEXT2
"CS","Editaèní vazba","CISMC",44,"551309","Brno-Tuøany","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551317","Brno-Chrlice","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551325","Brno-Bosonohy","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551368","Brno-ebìtín","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551376","Brno-Ivanovice","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551406","Brno-Jehnice","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551422","Brno-Oøešín","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551431","Brno-Útìchov","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"554219","Nová Bìlá","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554227","Vítkovice","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554235","Stará Bìlá","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554243","Pustkovec","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554286","Mariánské Hory a Hulváky","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554308","Petøkovice","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554324","Lhotka","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554332","Hošálkovice","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554367","Nová Ves","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554375","Proskovice","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554430","Michálkovice","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554537","Radvanice a Bartovice","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554561","Krásné Pole","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554570","Martinov","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554588","Polanka nad Odrou","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554669","Hrabová","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554685","Svinov","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554715","Tøebovice","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554723","Plesná","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"554731","Plzeò 5-Køimice","CISOB",43,"554791","Plzeò"
"CS","Editaèní vazba","CISMC",44,"554758","Plzeò 6-Litice","CISOB",43,"554791","Plzeò"
"CS","Editaèní vazba","CISMC",44,"554766","Plzeò 7-Radèice","CISOB",43,"554791","Plzeò"
"CS","Editaèní vazba","CISMC",44,"554774","Plzeò 8-Èernice","CISOB",43,"554791","Plzeò"
"CS","Editaèní vazba","CISMC",44,"555096","Pardubice IV","CISOB",43,"555134","Pardubice"
"CS","Editaèní vazba","CISMC",44,"555100","Pardubice VI","CISOB",43,"555134","Pardubice"
"CS","Editaèní vazba","CISMC",44,"555118","Pardubice VII","CISOB",43,"555134","Pardubice"
"CS","Editaèní vazba","CISMC",44,"555126","Pardubice II","CISOB",43,"555134","Pardubice"
"CS","Editaèní vazba","CISMC",44,"555321","Opava (neèlenìná èást mìsta)","CISOB",43,"505927","Opava"
"CS","Editaèní vazba","CISMC",44,"555339","Malé Hoštice","CISOB",43,"505927","Opava"
"CS","Editaèní vazba","CISMC",44,"555355","Komárov","CISOB",43,"505927","Opava"
"CS","Editaèní vazba","CISMC",44,"555371","Suché Lazce","CISOB",43,"505927","Opava"
"CS","Editaèní vazba","CISMC",44,"555401","Podvihov","CISOB",43,"505927","Opava"
"CS","Editaèní vazba","CISMC",44,"555410","Zlatníky","CISOB",43,"505927","Opava"
